iter	Passed	Remaining
168	29663	847952
169	29835	847675
170	30014	847593
171	30192	847497
172	30358	847055
173	30514	846338
174	30667	845537
175	30852	845642
176	31045	845943
177	31206	845381
178	31378	845110
179	31571	845427
180	31768	845815
181	31930	845279
182	32084	844530
183	32278	844862
184	32457	844778
185	32649	845030
186	32828	844934
187	33043	845781
188	33220	845634
189	33386	845210
190	33557	844906
191	33719	844395
192	33916	844754
193	34106	844915
194	34276	844599
195	34450	844383
196	34636	844456
197	34821	844498
198	34987	844084
199	35217	845216
200	35373	844575
201	35539	844155
202	35710	843865
203	35873	843382
204	36039	842984
205	36211	842712
206	36396	842750
207	36557	842219
208	36721	841785
209	36880	841226
210	37056	841059
211	37242	841118
212	37371	839894
213	37510	838908
214	37686	838754
215	37839	838069
216	37998	837547
217	38173	837358
218	38348	837190
219	38504	836590
220	38646	835699
221	38814	835392
222	38982	835058
223	39150	834747
224	39326	834593
225	39492	834238
226	39644	833583
227	39826	833553
228	40014	833658
229	40191	833528
230	40370	833443
231	40563	833655
232	40736	833432
233	40887	832768
234	41071	832780
235	41219	832071
236	41375	831524
237	41578	831910
238	41762	831931
239	41934	831709
240	42114	831639
241	42279	831265
242	42440	830822
243	42600	830355
244	42776	830222
245	42930	829646
246	43116	829678
247	43265	829016
248	43454	829120
249	43608	828559
250	43781	828356
251	43963	828323
252	44150	828388
253	44341	828517
254	44501	828073
255	44675	827889
256	44830	827362
257	45045	827921
258	45216	827682
259	45380	827312
260	45544	826960
261	45713	826678
262	45868	826151
263	46052	826159
264	46217	825811
265	46392	825639
266	46543	825060
267	46720	824934
268	46903	824910
269	47059	824409
270	47259	824683
271	47430	824445
272	47601	824214
273	47799	824446
274	47986	824496
275	48171	824494
276	48320	823888
277	48477	823424
278	48658	823352
279	48812	822838
280	48969	822366
281	49149	822299
282	49347	822515
283	49500	821979
284	49686	822008
285	49822	821207
286	49993	820965
287	50159	820665
288	50327	820387
289	50513	820408
290	50691	820293
291	50850	819875
292	51010	819476
293	51264	820575
294	51434	820336
295	51622	820383
296	51771	819809
297	51936	819479
298	52086	818924
299	52244	818497
300	52406	818133
301	52550	817490
302	52710	817096
303	52878	816838
304	53036	816410
305	53207	816189
306	53364	815764
307	53534	815530
308	53680	814942
309	53843	814605
310	53997	814127
311	54169	813938
312	54343	813757
313	54488	813168
314	54638	812639
315	54820	812591
316	54985	812287
317	55160	812145
318	55328	811896
319	55511	811858
320	55665	811397
321	55846	811335
322	56030	811315
323	56201	811110
324	56394	811211
325	56544	810702
326	56720	810565
327	56862	809940
328	57021	809567
329	57171	809059
330	57333	808736
331	57482	808217
332	57646	807916
333	57827	807854
334	57996	807624
335	58158	807301
336	58334	807156
337	58519	807157
338	58698	807063
339	58872	806892
340	59059	806920
341	59268	807224
342	59437	807004
343	59624	807004
344	59815	807074
345	59969	806647
346	60134	806361
347	60290	805949
348	60438	805441
349	60589	804980
350	60784	805085
351	60939	804682
352	61128	804712
353	61300	804530
354	61467	804274
355	61643	804136
356	61808	803862
357	61951	803293
358	62106	802880
359	62278	802699
360	62445	802449
361	62586	801873
362	62736	801398
363	62927	801457
364	63081	801050
365	63244	800754
366	63427	800705
367	63587	800378
368	63753	800110
369	63937	800078
370	64088	799641
371	64283	799738
372	64472	799773
373	64636	799486
374	64860	799949
375	65046	799938
376	65184	799329
377	65379	799429
378	65545	799165
379	65702	798805
380	65855	798388
381	66043	798400
382	66176	797748
383	66352	797614
384	66509	797247
385	66672	796960
386	66858	796951
387	67011	796536
388	67180	796324
389	67319	795755
390	67456	795164
391	67624	794935
392	67777	794529
393	67956	794433
394	68095	793877
395	68249	793484
396	68412	793207
397	68583	793023
398	68737	792637
399	68891	792257
400	69036	791764
401	69226	791802
402	69380	791425
403	69551	791236
404	69725	791086
405	69884	790763
406	70040	790412
407	70183	789902
408	70349	789671
409	70493	789185
410	70637	788701
411	70809	788525
412	70986	788409
413	71137	788006
414	71281	787532
415	71478	787635
416	71639	787348
417	71828	787361
418	71985	787027
419	72128	786538
420	72290	786265
421	72464	786116
422	72637	785960
423	72795	785645
424	72978	785589
425	73157	785499
426	73337	785418
427	73476	784891
428	73624	784469
429	73789	784230
430	73954	783990
431	74120	783754
432	74291	783576
433	74443	783202
434	74609	782966
435	74763	782619
436	74927	782365
437	75093	782137
438	75242	781728
439	75412	781547
440	75567	781203
441	75746	781114
442	75902	780784
443	76107	780960
444	76270	780703
445	76427	780378
446	76610	780325
447	76777	780116
448	76954	779997
449	77152	780098
450	77305	779742
451	77453	779329
452	77602	778934
453	77778	778812
454	77930	778449
455	78094	778209
456	78286	778236
457	78463	778129
458	78629	777899
459	78787	777596
460	78954	777382
461	79111	777069
462	79305	777126
463	79453	776727
464	79628	776588
465	79808	776504
466	79963	776176
467	80122	775884
468	80303	775809
469	80437	775285
470	80609	775114
471	80747	774631
472	80918	774455
473	81085	774245
474	81239	773913
475	81468	774292
476	81608	773825
477	81764	773511
478	81907	773074
479	82071	772837
480	82262	772855
481	82430	772658
482	82618	772649
483	82761	772212
484	82918	771912
485	83056	771438
486	83202	771031
487	83404	771147
488	83552	770765
489	83731	770675
490	83904	770519
491	84050	770117
492	84216	769904
493	84371	769589
494	84529	769307
495	84692	769066
496	84837	768660
497	84997	768387
498	85157	768126
499	85306	767755
500	85453	767375
501	85605	767036
502	85750	766640
503	85913	766406
504	86066	766078
505	86237	765912
506	86377	765471
507	86543	765260
508	86721	765157
509	86878	764875
510	87052	764733
511	87247	764777
512	87416	764596
513	87561	764202
514	87753	764219
515	87892	763780
516	88039	763407
517	88180	762978
518	88336	762688
519	88515	762590
520	88687	762442
521	88854	762245
522	89021	762047
523	89221	762131
524	89374	761807
525	89520	761438
526	89671	761102
527	89856	761057
528	90017	760806
529	90185	760620
530	90363	760517
531	90529	760309
532	90732	760414
533	90878	760040
534	91029	759713
535	91199	759543
536	91351	759224
537	91496	758839
538	91651	758544
539	91791	758128
540	91922	757639
541	92094	757485
542	92274	757399
543	92456	757327
544	92643	757297
545	92803	757041
546	92949	756682
547	93104	756388
548	93287	756327
549	93453	756124
550	93609	755838
551	93762	755535
552	93927	755325
553	94111	755269
554	94319	755406
555	94492	755263
556	94650	754995
557	94799	754661
558	95025	754932
559	95185	754684
560	95360	754551
561	95509	754215
562	95671	753986
563	95833	753754
564	96005	753601
565	96170	753390
566	96362	753393
567	96546	753334
568	96691	752972
569	96852	752734
570	96986	752281
571	97168	752206
572	97311	751832
573	97465	751536
574	97626	751299
575	97789	751075
576	97924	750644
577	98094	750475
578	98222	749988
579	98385	749763
580	98552	749575
581	98704	749274
582	98866	749041
583	99043	748932
584	99238	748954
585	99377	748556
586	99540	748333
587	99694	748048
588	99852	747791
589	100017	747584
590	100192	747462
591	100335	747091
592	100484	746769
593	100646	746542
594	100798	746247
595	100930	745804
596	101066	745387
597	101202	744970
598	101376	744836
599	101530	744553
600	101677	744223
601	101842	744028
602	101986	743673
603	102155	743500
604	102305	743197
605	102461	742933
606	102627	742740
607	102790	742524
608	102933	742170
609	103068	741752
610	103240	741610
611	103421	741525
612	103599	741419
613	103767	741246
614	103942	741115
615	104097	740852
616	104279	740774
617	104466	740734
618	104620	740455
619	104797	740344
620	104962	740148
621	105111	739834
622	105255	739494
623	105418	739282
624	105576	739034
625	105738	738819
626	105900	738599
627	106070	738436
628	106220	738136
629	106378	737893
630	106550	737747
631	106694	737410
632	106834	737038
633	107007	736898
634	107203	736919
635	107348	736588
636	107509	736362
637	107662	736085
638	107843	736001
639	108003	735771
640	108150	735457
641	108300	735163
642	108440	734798
643	108595	734538
644	108768	734396
645	108914	734074
646	109067	733804
647	109234	733626
648	109419	733566
649	109593	733432
650	109747	733164
651	109911	732969
652	110066	732707
653	110201	732318
654	110375	732184
655	110514	731824
656	110670	731569
657	110849	731472
658	111027	731364
659	111237	731468
660	111405	731301
661	111593	731257
662	111765	731114
663	111904	730751
664	112051	730442
665	112209	730202
666	112357	729901
667	112514	729661
668	112685	729509
669	112851	729325
670	113015	729125
671	113187	728983
672	113339	728709
673	113532	728694
674	113698	728509
675	113861	728307
676	114022	728092
677	114208	728034
678	114386	727931
679	114526	727579
680	114690	727382
681	114852	727175
682	115003	726899
683	115161	726660
684	115328	726484
685	115503	726358
686	115673	726199
687	115901	726405
688	116080	726305
689	116225	725989
690	116529	726663
691	116688	726434
692	116866	726325
693	117047	726235
694	117214	726052
695	117373	725826
696	117544	725671
697	117770	725857
698	117961	725828
699	118168	725891
700	118316	725593
701	118462	725285
702	118639	725168
703	118794	724917
704	118988	724901
705	119176	724850
706	119341	724658
707	119536	724647
708	119678	724317
709	119835	724077
710	119991	723831
711	120179	723778
712	120344	723584
713	120521	723464
714	120672	723193
715	120853	723095
716	120998	722786
717	121132	722408
718	121303	722252
719	121469	722068
720	121632	721866
721	121807	721732
722	121963	721489
723	122125	721279
724	122268	720962
725	122421	720702
726	122598	720580
727	122751	720324
728	122929	720208
729	123120	720172
730	123282	719964
731	123461	719855
732	123615	719602
733	123782	719421
734	123932	719147
735	124119	719081
736	124267	718793
737	124416	718514
738	124560	718204
739	124734	718065
740	124862	717665
741	125005	717347
742	125143	717005
743	125295	716745
744	125439	716438
745	125598	716213
746	125787	716163
747	125937	715889
748	126100	715689
749	126239	715354
750	126370	714979
751	126510	714646
752	126652	714334
753	126813	714127
754	126965	713865
755	127132	713693
756	127282	713421
757	127411	713033
758	127567	712800
759	127760	712768
760	127927	712595
761	128115	712539
762	128282	712360
763	128436	712116
764	128614	712002
765	128767	711749
766	128900	711388
767	129085	711317
768	129240	711077
769	129375	710725
770	129520	710428
771	129675	710190
772	129825	709926
773	129970	709632
774	130131	709426
775	130292	709220
776	130477	709147
777	130626	708874
778	130774	708600
779	130926	708348
780	131093	708171
781	131252	707959
782	131432	707857
783	131584	707602
784	131726	707293
785	131869	706992
786	132033	706805
787	132183	706541
788	132334	706285
789	132463	705915
790	132629	705733
791	132805	705613
792	132958	705367
793	133122	705179
794	133292	705025
795	133452	704817
796	133592	704505
797	133723	704141
798	133893	703989
799	134061	703824
800	134199	703502
801	134339	703189
802	134484	702903
803	134677	702869
804	134837	702664
805	135004	702492
806	135153	702231
807	135314	702029
808	135484	701873
809	135643	701663
810	135799	701434
811	135951	701185
812	136137	701117
813	136320	701029
814	136482	700831
815	136652	700676
816	136800	700413
817	136935	700079
818	137086	699826
819	137233	699556
820	137408	699430
821	137578	699273
822	137735	699054
823	137900	698875
824	138062	698678
825	138217	698452
826	138386	698289
827	138550	698108
828	138724	697972
829	138870	697699
830	139051	697601
831	139195	697317
832	139354	697106
833	139518	696921
834	139681	696736
835	139822	696436
836	139977	696206
837	140136	695999
838	140287	695751
839	140449	695561
840	140635	695484
841	140791	695263
842	140948	695044
843	141116	694883
844	141271	694653
845	141429	694441
846	141600	694295
847	141763	694103
848	141924	693907
849	142104	693802
850	142248	693523
851	142407	693318
852	142599	693268
853	142746	693008
854	142926	692898
855	143106	692794
856	143247	692500
857	143438	692451
858	143601	692263
859	143755	692032
860	143917	691840
861	144092	691709
862	144289	691685
863	144430	691393
864	144595	691214
865	144764	691058
866	144937	690917
867	145071	690592
868	145234	690405
869	145370	690093
870	145515	689820
871	145669	689590
872	145828	689384
873	145978	689139
874	146137	688935
875	146281	688659
876	146417	688343
877	146558	688058
878	146706	687799
879	146855	687551
880	147002	687291
881	147160	687083
882	147327	686915
883	147499	686772
884	147636	686467
885	147786	686224
886	147931	685954
887	148104	685815
888	148238	685498
889	148379	685215
890	148514	684899
891	148702	684833
892	148879	684713
893	149080	684705
894	149241	684508
895	149454	684553
896	149691	684707
897	149861	684556
898	150019	684348
899	150199	684244
900	150399	684226
901	150621	684308
902	150852	684432
903	151021	684272
904	151181	684075
905	151381	684056
906	151544	683870
907	151735	683810
908	151905	683657
909	152113	683675
910	152336	683757
911	152522	683676
912	152717	683631
913	152918	683614
914	153081	683430
915	153288	683438
916	153459	683288
917	153647	683212
918	153820	683068
919	154068	683258
920	154266	683228
921	154430	683044
922	154640	683065
923	154818	682945
924	154998	682830
925	155203	682830
926	155378	682695
927	155629	682890
928	155842	682920
929	156079	683058
930	156397	683543
931	156707	683999
932	156939	684109
933	157186	684281
934	157406	684337
935	157602	684289
936	157770	684121
937	158006	684246
938	158218	684266
939	158447	684357
940	158587	684068
941	158799	684084
942	158965	683907
943	159129	683718
944	159277	683460
945	159418	683173
946	159582	682987
947	159780	682943
948	159916	682634
949	160055	682341
950	160212	682125
951	160344	681801
952	160528	681698
953	160681	681464
954	160841	681262
955	160978	680957
956	161132	680729
957	161293	680528
958	161433	680243
959	161567	679929
960	161717	679683
961	161853	679381
962	161993	679094
963	162158	678912
964	162297	678621
965	162463	678443
966	162607	678175
967	162756	677927
968	162922	677749
969	163085	677559
970	163226	677279
971	163394	677110
972	163547	676882
973	163682	676577
974	163826	676308
975	163996	676148
976	164162	675974
977	164321	675769
978	164472	675530
979	164628	675311
980	164776	675062
981	164940	674879
982	165093	674647
983	165250	674437
984	165382	674124
985	165535	673895
986	165697	673702
987	165845	673452
988	165983	673165
989	166113	672843
990	166253	672562
991	166408	672344
992	166596	672256
993	166777	672144
994	166925	671895
995	167089	671712
996	167239	671473
997	167388	671232
998	167527	670948
999	167674	670698
1000	167855	670582
1001	168004	670339
1002	168155	670108
1003	168300	669849
1004	168455	669629
1005	168593	669345
1006	168742	669106
1007	168891	668865
1008	169087	668808
1009	169227	668530
1010	169371	668271
1011	169512	667999
1012	169671	667798
1013	169826	667583
1014	169989	667398
1015	170154	667221
1016	170324	667061
1017	170496	666910
1018	170654	666709
1019	170858	666683
1020	171035	666551
1021	171202	666382
1022	171381	666258
1023	171528	666011
1024	171718	665930
1025	171856	665649
1026	172025	665490
1027	172202	665358
1028	172355	665135
1029	172510	664918
1030	172654	664662
1031	172810	664447
1032	172950	664175
1033	173119	664015
1034	173278	663816
1035	173445	663648
1036	173607	663458
1037	173778	663303
1038	173925	663059
1039	174092	662889
1040	174249	662684
1041	174395	662433
1042	174535	662163
1043	174732	662107
1044	174870	661829
1045	175013	661572
1046	175188	661432
1047	175338	661199
1048	175523	661100
1049	175668	660847
1050	175820	660622
1051	175963	660364
1052	176126	660180
1053	176286	659987
1054	176446	659791
1055	176595	659556
1056	176779	659453
1057	176976	659395
1058	177141	659219
1059	177342	659177
1060	177530	659086
1061	177680	658856
1062	177853	658710
1063	178003	658480
1064	178169	658307
1065	178311	658046
1066	178479	657881
1067	178635	657674
1068	178768	657379
1069	178953	657278
1070	179109	657070
1071	179286	656937
1072	179448	656751
1073	179591	656493
1074	179745	656279
1075	179893	656044
1076	180037	655790
1077	180183	655548
1078	180360	655415
1079	180504	655163
1080	180697	655090
1081	180846	654858
1082	180981	654575
1083	181124	654319
1084	181258	654034
1085	181405	653794
1086	181557	653572
1087	181703	653329
1088	181862	653135
1089	182017	652924
1090	182169	652703
1091	182330	652516
1092	182500	652361
1093	182665	652184
1094	182802	651912
1095	182968	651740
1096	183142	651600
1097	183327	651496
1098	183487	651304
1099	183657	651150
1100	183822	650975
1101	184017	650908
1102	184175	650708
1103	184317	650455
1104	184483	650285
1105	184640	650081
1106	184795	649872
1107	184958	649692
1108	185102	649445
1109	185245	649194
1110	185396	648970
1111	185544	648739
1112	185699	648528
1113	185860	648342
1114	186017	648140
1115	186163	647901
1116	186333	647745
1117	186482	647516
1118	186629	647280
1119	186781	647064
1120	186940	646869
1121	187098	646673
1122	187272	646530
1123	187426	646321
1124	187577	646098
1125	187735	645904
1126	187880	645662
1127	188047	645495
1128	188200	645282
1129	188379	645156
1130	188539	644967
1131	188710	644816
1132	188858	644586
1133	189041	644476
1134	189216	644336
1135	189368	644120
1136	189534	643949
1137	189672	643687
1138	189815	643441
1139	189978	643260
1140	190164	643158
1141	190324	642969
1142	190470	642734
1143	190637	642569
1144	190805	642407
1145	190953	642175
1146	191117	642001
1147	191324	641969
1148	191499	641832
1149	191653	641623
1150	191804	641404
1151	191967	641224
1152	192124	641025
1153	192276	640809
1154	192450	640670
1155	192596	640434
1156	192733	640168
1157	192885	639954
1158	193015	639664
1159	193163	639436
1160	193313	639216
1161	193470	639017
1162	193626	638817
1163	193789	638638
1164	193956	638474
1165	194091	638203
1166	194257	638036
1167	194432	637899
1168	194600	637736
1169	194759	637547
1170	194890	637264
1171	195031	637013
1172	195214	636903
1173	195359	636665
1174	195496	636404
1175	195637	636155
1176	195805	635993
1177	195963	635800
1178	196119	635601
1179	196273	635394
1180	196431	635200
1181	196606	635062
1182	196746	634810
1183	196881	634543
1184	197054	634399
1185	197212	634206
1186	197359	633978
1187	197523	633804
1188	197679	633604
1189	197846	633441
1190	197992	633210
1191	198165	633064
1192	198308	632826
1193	198508	632766
1194	198672	632594
1195	198841	632434
1196	199028	632334
1197	199195	632171
1198	199345	631953
1199	199506	631772
1200	199650	631533
1201	199806	631335
1202	199960	631129
1203	200115	630929
1204	200261	630699
1205	200402	630452
1206	200553	630240
1207	200712	630049
1208	200879	629887
1209	201055	629753
1210	201240	629645
1211	201397	629451
1212	201561	629277
1213	201739	629148
1214	201923	629036
1215	202102	628910
1216	202285	628798
1217	202445	628610
1218	202621	628476
1219	202789	628315
1220	202977	628214
1221	203130	628007
1222	203283	627803
1223	203436	627594
1224	203593	627399
1225	203735	627160
1226	203925	627065
1227	204072	626843
1228	204235	626664
1229	204389	626460
1230	204544	626262
1231	204710	626094
1232	204861	625883
1233	204992	625608
1234	205137	625378
1235	205311	625237
1236	205495	625125
1237	205660	624955
1238	205820	624770
1239	205978	624581
1240	206133	624381
1241	206309	624245
1242	206482	624100
1243	206638	623902
1244	206840	623842
1245	207016	623707
1246	207187	623555
1247	207338	623343
1248	207492	623141
1249	207637	622912
1250	207792	622712
1251	207948	622518
1252	208114	622351
1253	208270	622153
1254	208428	621963
1255	208579	621754
1256	208721	621516
1257	208916	621435
1258	209050	621173
1259	209207	620981
1260	209355	620761
1261	209509	620558
1262	209671	620381
1263	209825	620180
1264	210026	620118
1265	210175	619902
1266	210316	619662
1267	210468	619453
1268	210636	619293
1269	210809	619148
1270	210954	618921
1271	211102	618703
1272	211240	618455
1273	211395	618256
1274	211555	618074
1275	211702	617851
1276	211831	617578
1277	211987	617383
1278	212146	617198
1279	212288	616963
1280	212447	616777
1281	212627	616651
1282	212779	616446
1283	212924	616220
1284	213059	615966
1285	213216	615775
1286	213355	615530
1287	213505	615319
1288	213658	615116
1289	213798	614879
1290	213952	614677
1291	214100	614462
1292	214266	614295
1293	214451	614187
1294	214625	614044
1295	214801	613908
1296	214935	613652
1297	215079	613423
1298	215240	613245
1299	215398	613056
1300	215556	612868
1301	215717	612690
1302	215902	612578
1303	216053	612371
1304	216195	612139
1305	216348	611938
1306	216519	611788
1307	216677	611599
1308	216821	611372
1309	216974	611171
1310	217145	611021
1311	217298	610819
1312	217446	610605
1313	217613	610444
1314	217761	610227
1315	217906	610006
1316	218062	609814
1317	218235	609669
1318	218381	609446
1319	218522	609213
1320	218708	609105
1321	218889	608982
1322	219052	608811
1323	219211	608627
1324	219379	608467
1325	219545	608303
1326	219699	608106
1327	219859	607925
1328	220010	607718
1329	220174	607547
1330	220333	607366
1331	220474	607132
1332	220642	606973
1333	220809	606812
1334	220961	606608
1335	221139	606477
1336	221282	606251
1337	221451	606096
1338	221627	605959
1339	221769	605729
1340	221909	605492
1341	222071	605317
1342	222223	605116
1343	222390	604956
1344	222535	604734
1345	222702	604571
1346	222849	604358
1347	222986	604116
1348	223149	603941
1349	223299	603734
1350	223462	603564
1351	223648	603454
1352	223800	603253
1353	224034	603270
1354	224181	603057
1355	224342	602880
1356	224488	602661
1357	224648	602482
1358	224820	602332
1359	224998	602203
1360	225168	602048
1361	225329	601870
1362	225488	601689
1363	225635	601474
1364	225777	601245
1365	225905	600981
1366	226055	600775
1367	226232	600641
1368	226404	600492
1369	226548	600270
1370	226723	600131
1371	226864	599901
1372	227059	599813
1373	227204	599594
1374	227343	599359
1375	227489	599143
1376	227627	598905
1377	227784	598720
1378	227909	598449
1379	228081	598301
1380	228225	598079
1381	228390	597914
1382	228541	597712
1383	228680	597477
1384	228851	597328
1385	229018	597166
1386	229164	596951
1387	229303	596718
1388	229447	596498
1389	229599	596296
1390	229739	596066
1391	229891	595868
1392	230076	595753
1393	230216	595523
1394	230389	595378
1395	230554	595214
1396	230723	595059
1397	230905	594936
1398	231060	594746
1399	231228	594588
1400	231384	594397
1401	231550	594236
1402	231710	594057
1403	231853	593835
1404	232034	593709
1405	232225	593612
1406	232387	593439
1407	232556	593282
1408	232755	593204
1409	232917	593030
1410	233060	592809
1411	233206	592595
1412	233370	592426
1413	233534	592258
1414	233684	592055
1415	233873	591951
1416	234045	591803
1417	234206	591628
1418	234372	591465
1419	234546	591321
1420	234711	591156
1421	234851	590927
1422	235008	590742
1423	235165	590555
1424	235310	590341
1425	235504	590247
1426	235670	590085
1427	235812	589861
1428	235958	589649
1429	236123	589482
1430	236272	589278
1431	236422	589075
1432	236587	588909
1433	236745	588726
1434	236905	588548
1435	237070	588382
1436	237231	588209
1437	237431	588130
1438	237586	587940
1439	237768	587817
1440	237923	587625
1441	238097	587483
1442	238271	587341
1443	238440	587184
1444	238587	586975
1445	238744	586790
1446	238945	586712
1447	239094	586507
1448	239244	586306
1449	239395	586106
1450	239552	585921
1451	239690	585689
1452	239856	585526
1453	240022	585363
1454	240200	585230
1455	240384	585110
1456	240535	584912
1457	240688	584718
1458	240843	584527
1459	241013	584375
1460	241184	584223
1461	241323	583997
1462	241481	583814
1463	241636	583625
1464	241787	583424
1465	241928	583202
1466	242066	582971
1467	242222	582786
1468	242350	582531
1469	242524	582388
1470	242666	582167
1471	242831	582004
1472	242990	581824
1473	243167	581689
1474	243336	581532
1475	243480	581316
1476	243655	581176
1477	243809	580986
1478	243976	580826
1479	244125	580623
1480	244270	580410
1481	244425	580222
1482	244574	580020
1483	244725	579821
1484	244899	579678
1485	245054	579490
1486	245207	579297
1487	245343	579062
1488	245502	578884
1489	245644	578665
1490	245811	578505
1491	245960	578304
1492	246131	578152
1493	246276	577941
1494	246445	577787
1495	246603	577605
1496	246741	577377
1497	246908	577219
1498	247067	577039
1499	247223	576854
1500	247378	576666
1501	247540	576496
1502	247698	576315
1503	247848	576115
1504	248023	575975
1505	248170	575768
1506	248341	575619
1507	248499	575438
1508	248658	575258
1509	248840	575135
1510	249015	574993
1511	249162	574786
1512	249355	574688
1513	249497	574470
1514	249665	574312
1515	249819	574123
1516	249994	573981
1517	250141	573777
1518	250297	573590
1519	250471	573447
1520	250603	573207
1521	250750	573002
1522	250912	572830
1523	251087	572689
1524	251229	572474
1525	251392	572305
1526	251554	572133
1527	251719	571969
1528	251894	571829
1529	252035	571609
1530	252169	571375
1531	252311	571159
1532	252463	570965
1533	252636	570820
1534	252778	570604
1535	252951	570458
1536	253100	570259
1537	253250	570060
1538	253400	569863
1539	253544	569652
1540	253692	569449
1541	253893	569365
1542	254056	569197
1543	254232	569060
1544	254412	568929
1545	254571	568752
1546	254732	568579
1547	254882	568382
1548	255031	568181
1549	255226	568084
1550	255361	567854
1551	255519	567675
1552	255690	567523
1553	255878	567412
1554	256072	567312
1555	256251	567179
1556	256418	567018
1557	256570	566827
1558	256722	566633
1559	256904	566507
1560	257052	566304
1561	257202	566108
1562	257348	565903
1563	257498	565705
1564	257645	565503
1565	257794	565303
1566	257953	565126
1567	258105	564933
1568	258251	564728
1569	258388	564504
1570	258522	564274
1571	258654	564037
1572	258815	563866
1573	258972	563685
1574	259148	563545
1575	259285	563321
1576	259463	563185
1577	259630	563025
1578	259811	562897
1579	259966	562713
1580	260114	562511
1581	260248	562281
1582	260417	562126
1583	260568	561933
1584	260730	561763
1585	260874	561553
1586	261029	561368
1587	261187	561191
1588	261335	560991
1589	261496	560818
1590	261635	560599
1591	261806	560450
1592	261946	560234
1593	262093	560030
1594	262280	559914
1595	262449	559760
1596	262598	559564
1597	262763	559399
1598	262919	559217
1599	263096	559081
1600	263250	558893
1601	263428	558758
1602	263621	558654
1603	263782	558481
1604	263925	558272
1605	264082	558091
1606	264240	557913
1607	264395	557729
1608	264543	557530
1609	264701	557352
1610	264852	557160
1611	265023	557010
1612	265190	556850
1613	265358	556693
1614	265533	556551
1615	265677	556343
1616	265831	556159
1617	265987	555977
1618	266136	555780
1619	266294	555601
1620	266460	555441
1621	266620	555268
1622	266786	555107
1623	266958	554957
1624	267106	554758
1625	267327	554713
1626	267527	554622
1627	267731	554540
1628	267903	554390
1629	268040	554170
1630	268186	553967
1631	268351	553803
1632	268485	553576
1633	268635	553382
1634	268809	553238
1635	268964	553054
1636	269132	552896
1637	269313	552767
1638	269471	552589
1639	269621	552394
1640	269790	552239
1641	269968	552103
1642	270117	551907
1643	270291	551762
1644	270431	551549
1645	270581	551354
1646	270747	551194
1647	270917	551041
1648	271062	550837
1649	271234	550688
1650	271392	550509
1651	271547	550327
1652	271716	550172
1653	271902	550052
1654	272069	549892
1655	272223	549708
1656	272413	549593
1657	272628	549531
1658	272796	549374
1659	272967	549223
1660	273113	549023
1661	273252	548807
