iter	Logloss
0	0.6694137851
1	0.6468004119
2	0.6253929737
3	0.6051135545
4	0.5858833852
5	0.5677135743
6	0.5500742584
7	0.5336078617
8	0.5180718644
9	0.5033635472
10	0.4893369308
11	0.4760519655
12	0.4634598727
13	0.4515502314
14	0.440294947
15	0.429439129
16	0.4193371668
17	0.4097762904
18	0.4007759955
19	0.3922491047
20	0.3839628757
21	0.3763140025
22	0.3690111113
23	0.3620716594
24	0.355493871
25	0.3492243272
26	0.3431270071
27	0.3375752906
28	0.3320058236
29	0.3268412058
30	0.3220143031
31	0.3173671312
32	0.3129434076
33	0.3086431365
34	0.3047322355
35	0.3010120168
36	0.2973800996
37	0.294025895
38	0.2909149997
39	0.2878297246
40	0.2849509065
41	0.2821944185
42	0.2794640601
43	0.2769311929
44	0.2745568069
45	0.2723019038
46	0.2701492495
47	0.2680899821
48	0.2661771061
49	0.2643578932
50	0.2625839155
51	0.2608080669
52	0.2592111217
53	0.2576386206
54	0.2561609323
55	0.2547393138
56	0.2534219266
57	0.2520895798
58	0.2508691558
59	0.2497102
60	0.2485838506
61	0.2475027867
62	0.2464770039
63	0.2455081362
64	0.2445441172
65	0.2436650586
66	0.2428355409
67	0.2420578363
68	0.2413062893
69	0.2405712493
70	0.2397783345
71	0.2391483585
72	0.2384940429
73	0.2378553836
74	0.2372707108
75	0.2367080599
76	0.2361434449
77	0.2356547979
78	0.2351666237
79	0.2346717706
80	0.2342101046
81	0.2337449442
82	0.2333507536
83	0.2329289251
84	0.2325542335
85	0.2322273736
86	0.2318830415
87	0.2315699357
88	0.2312083169
89	0.2308761357
90	0.2305620378
91	0.2302522417
92	0.229974966
93	0.2296919698
94	0.2293861657
95	0.2291593423
96	0.2289174124
97	0.2287038677
98	0.228487107
99	0.228257757
100	0.2280506404
101	0.2278468534
102	0.2276440391
103	0.2274602447
104	0.2272865704
105	0.227079556
106	0.2268892451
107	0.226718046
108	0.2265539374
109	0.2263580538
110	0.226194106
111	0.2260653012
112	0.2259280588
113	0.2257990052
114	0.2256851259
115	0.2255373265
116	0.2253717286
117	0.2252529097
118	0.2251391167
119	0.2250104921
120	0.2249007173
121	0.2247995395
122	0.2246932868
123	0.2245897344
124	0.224465107
125	0.2243613966
126	0.2242739768
127	0.2241863589
128	0.2241128652
129	0.2240133375
130	0.2239471612
131	0.2238510557
132	0.2237795017
133	0.2236989868
134	0.2236387204
135	0.2235757757
136	0.2235072052
137	0.2234473698
138	0.2233651683
139	0.2232740057
140	0.2232109055
141	0.2231386566
142	0.2230645734
143	0.2229855323
144	0.2229065643
145	0.2228576277
146	0.2228093451
147	0.2227464005
148	0.2226894645
149	0.2226202341
150	0.2225622894
151	0.2225084605
152	0.2224511052
153	0.2223944476
154	0.2223377706
155	0.222267597
156	0.2222231256
157	0.2221645308
158	0.2221247897
159	0.2220634457
160	0.2220187873
161	0.2219798135
162	0.221928094
163	0.2218891889
164	0.2218292815
165	0.2217839486
166	0.2217395948
167	0.2216835046
168	0.2216341281
169	0.2216029146
170	0.2215666083
171	0.2215205261
172	0.2214738271
173	0.2214330629
174	0.2214076334
175	0.2213775153
176	0.221326604
177	0.2213031287
178	0.2212753507
179	0.2212362676
180	0.221194307
181	0.22116118
182	0.2211220605
183	0.2210673328
184	0.221046574
185	0.2210133116
186	0.2209660707
187	0.2209160494
188	0.2208687098
189	0.2208455316
190	0.2208237929
191	0.2208037111
192	0.2207726413
193	0.2207448325
194	0.220718403
195	0.2206955992
196	0.2206610308
197	0.2206256252
198	0.2205840418
199	0.2205487125
200	0.2205094801
201	0.2204876555
202	0.2204593528
203	0.220425068
204	0.2203771253
205	0.2203538912
206	0.2203105747
207	0.2202829942
208	0.2202630559
209	0.2202400271
210	0.2202173116
211	0.2201930281
212	0.2201772485
213	0.2201646085
214	0.2201327859
215	0.2201098695
216	0.2200902985
217	0.2200543425
218	0.2200076109
219	0.2199842825
220	0.2199695495
221	0.2199530844
222	0.219937922
223	0.2199101823
224	0.2198892315
225	0.2198648414
226	0.2198347542
227	0.2198025944
228	0.2197801614
229	0.219740432
230	0.2197117667
231	0.2196943561
232	0.2196713475
233	0.2196524547
234	0.2196220822
235	0.219607518
236	0.2195883699
237	0.2195557976
238	0.2195335319
239	0.2195140539
240	0.2195010407
241	0.2194763068
242	0.2194614047
243	0.2194495121
244	0.2194199081
245	0.2194015626
246	0.2193812724
247	0.2193669826
248	0.2193451354
249	0.219337268
250	0.2193219566
251	0.2192955242
252	0.2192590866
253	0.2192278098
254	0.2192136074
255	0.2191959975
256	0.2191664839
257	0.2191331673
258	0.2191177486
259	0.2191026212
260	0.219081482
261	0.219061927
262	0.2190463201
263	0.2190321328
264	0.2190185781
265	0.2189994838
266	0.2189886053
267	0.2189677727
268	0.2189390185
269	0.2189300779
270	0.2189095046
271	0.2188970822
272	0.2188805162
273	0.2188459629
274	0.2188336975
275	0.2188089748
276	0.2187962318
277	0.218778774
278	0.218757113
279	0.21873255
280	0.2187190835
281	0.2187049377
282	0.2186936075
283	0.2186840064
284	0.2186518926
285	0.2186431669
286	0.218625771
287	0.218605688
288	0.2185841163
289	0.2185674064
290	0.2185516993
291	0.2185393815
292	0.2185194909
293	0.2184947249
294	0.2184800453
295	0.2184625836
296	0.2184524148
297	0.2184410994
298	0.2184332544
299	0.2184254189
300	0.2184052571
301	0.2183928988
302	0.2183742422
303	0.218343185
304	0.2183341604
305	0.2183175224
306	0.2182995916
307	0.2182750757
308	0.2182639339
309	0.2182554093
310	0.2182488086
311	0.2182280036
312	0.2182165505
313	0.2182097267
314	0.2181984487
315	0.2181849824
316	0.2181683405
317	0.2181567143
318	0.2181371529
319	0.2181162659
320	0.2181086598
321	0.2180907565
322	0.2180820315
323	0.2180693423
324	0.2180569932
325	0.2180491048
326	0.2180303652
327	0.2180205257
328	0.2180092543
329	0.2180032804
330	0.2179885471
331	0.2179815114
332	0.2179665286
333	0.217959025
334	0.2179455958
335	0.2179373656
336	0.2179292063
337	0.2179169533
338	0.2178967765
339	0.217887874
340	0.2178685535
341	0.217851136
342	0.2178368936
343	0.2178302478
344	0.2178192497
345	0.2178100743
346	0.2177982306
347	0.2177905291
348	0.2177789287
349	0.2177652586
350	0.2177449792
351	0.2177363649
352	0.2177244468
353	0.2177097509
354	0.2176836763
355	0.2176691626
356	0.2176600745
357	0.2176534437
358	0.2176441776
359	0.2176328655
360	0.2176157471
361	0.2176126281
